3356;0.14365584054
64910;0.0;GigaPix OPorto
64607;9.24653795162e-06;SPB-IX
64712;0.000240332969908;Telx Atlanta
64713;0.000182603317695;LONAP
64903;2.91288062158e-08;LINX Route-Server RS1
64715;0.000347182079542;Equinix San Jose
64528;2.25372671024e-07;Netnod Lulea
64716;1.84430835319e-06;SFMIX
64750;0.0;GIX
64717;2.51970781405e-05;MadIX
64718;6.75948883553e-06;SIX.SK
64554;0.0;PTTMETRO Brasilia
64720;0.0;TaipeiGigaPoP
64546;2.24991053729e-06;Netnod Gothenburg
64608;9.685145811e-05;MyIX
64753;6.60238272467e-09;MD-IX
64723;0.0;QiX 2
64724;5.60197435715e-05;FreeBIX
64725;0.0;ASIX6
64522;6.12226544958e-07;eXpress
64727;3.02492587349e-05;LAIIX
64924;1.78860496155e-06;NAP Chile
64751;1.000213163e-09;MEIX
64805;5.4007179256e-05;SUPRnet
64694;5.4765054218e-05;CIXP
64657;3.55447025133e-05;WAIX
64806;0.0;TRDIX
64807;1.33873826921e-08;KZN-IX
64733;0.00050406070315;NYIIX
64734;0.0;TampaIX
64980;1.88397844362e-06;ISTIX / IST-IX
64736;2.47714521952e-05;CABASE
64808;5.3988391315e-05;REUNIX
64900;1.49433923258e-09;UIXP
64732;5.40417697882e-06;SIX SI
