,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,all_reach_2006,all_reach_2007,all_reach_2008,all_reach_2009,all_reach_2010,all_reach_2011,all_reach_2012,all_reach_2013,all_reach_2014,all_reach_2015,all_reach_2016,t1_cc_reach_2006,t1_cc_reach_2007,t1_cc_reach_2008,t1_cc_reach_2009,t1_cc_reach_2010,t1_cc_reach_2011,t1_cc_reach_2012,t1_cc_reach_2013,t1_cc_reach_2014,t1_cc_reach_2015,t1_cc_reach_2016
42,1131297654.0,1132335003.0,1241537112.0,1416253819.0,1617026955.0,1909573393.0,1973878923.0,1960296408.0,1984202634.0,2139859603.0,2253653386.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
43,1131297654.0,1132335003.0,1241537112.0,1416267125.0,1617031047.0,1909604591.0,1973931109.0,1960354762.0,1984268422.0,2139927933.0,2253770868.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
44,1131297654.0,1132335003.0,1241537112.0,1416279643.0,1617033855.0,1909634013.0,1973978961.0,1960411792.0,1984333956.0,2139993977.0,2253853516.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
45,1131297654.0,1132335003.0,1241537112.0,1416288855.0,1617035901.0,1909659787.0,1974026549.0,1960465718.0,1984372588.0,2140059765.0,2253932714.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
46,1131297654.0,1132335003.0,1241537112.0,1416297555.0,1617037947.0,1909682809.0,1974072083.0,1960506136.0,1984402788.0,2140107543.0,2254009886.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
47,1131297654.0,1132335003.0,1241537112.0,1416305745.0,1617038711.0,1909704807.0,1974116851.0,1960543710.0,1984432250.0,2140149187.0,2254086350.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
48,1131297654.0,1132335003.0,1241537112.0,1416313427.0,1617039475.0,1909725533.0,1974161345.0,1960578250.0,1984460386.0,2140186511.0,2254161454.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
49,1131297654.0,1132335003.0,1241537112.0,1416319313.0,1617040237.0,1909746237.0,1974204033.0,1960611762.0,1984483768.0,2140221267.0,2254229780.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
50,1131297654.0,1132335003.0,1241537112.0,1416324429.0,1617040999.0,1909764663.0,1974242531.0,1960642208.0,1984506014.0,2140252545.0,2254295568.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
51,1131297654.0,1132335003.0,1241537112.0,1416329545.0,1617041507.0,1909782067.0,1974276561.0,1960668552.0,1984525826.0,2140281863.0,2254357488.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
