,Africa/2006,Africa/2007,Africa/2008,Africa/2009,Africa/2010,Africa/2011,Africa/2012,Africa/2013,Africa/2014,Africa/2015,Africa/2016,Asia Pacific/2006,Asia Pacific/2007,Asia Pacific/2008,Asia Pacific/2009,Asia Pacific/2010,Asia Pacific/2011,Asia Pacific/2012,Asia Pacific/2013,Asia Pacific/2014,Asia Pacific/2015,Asia Pacific/2016,Australia/2006,Australia/2007,Australia/2008,Australia/2009,Australia/2010,Australia/2011,Australia/2012,Australia/2013,Australia/2014,Australia/2015,Australia/2016,Europe/2006,Europe/2007,Europe/2008,Europe/2009,Europe/2010,Europe/2011,Europe/2012,Europe/2013,Europe/2014,Europe/2015,Europe/2016,Middle East/2006,Middle East/2007,Middle East/2008,Middle East/2009,Middle East/2010,Middle East/2011,Middle East/2012,Middle East/2013,Middle East/2014,Middle East/2015,Middle East/2016,North America/2006,North America/2007,North America/2008,North America/2009,North America/2010,North America/2011,North America/2012,North America/2013,North America/2014,North America/2015,North America/2016,South America/2006,South America/2007,South America/2008,South America/2009,South America/2010,South America/2011,South America/2012,South America/2013,South America/2014,South America/2015,South America/2016
292,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19430.0,17784.0,9190.0,1016.0,9212.0,?,?,?,?,?,?,?,?,?,?,?,0.0,74740.0,74740.0,0.0,0.0,17906.0,56554.0,0.0,332526.0,35564.0,5366,?,?,?,?,?,?,?,?,?,?,?,178142.0,249562.0,249816.0,1524.0,6264.0,0.0,5084.0,21492.0,1022.0,16776.0,8426.0,?,?,?,?,?,?,?,?,?,7709844.0,13296.0
293,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38118.0,2695140.0,20434.0,16058.0,0.0,?,?,?,?,?,?,?,?,?,?,?,8190.0,7285420.0,7270564.0,33524.0,33524.0,8190.0,2322.0,8444.0,0.0,16786420.0,25334,?,?,?,?,?,?,?,?,?,?,?,49906.0,1276.0,2044.0,7160.0,57584.0,40932.0,4868872.0,20968.0,81908.0,673764.0,4572.0,?,?,?,?,?,?,?,?,?,33770.0,3068.0
294,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65534.0,4092.0,12752.0,6894.0,273122.0,?,?,?,?,?,?,?,?,?,?,?,1532.0,8698.0,8952.0,510.0,764.0,36844.0,1334970.0,78272.0,1584568.0,14322.0,4092,?,?,?,?,?,?,?,?,?,?,?,249562.0,0.0,1022.0,57584.0,1435086.0,1530.0,836990.0,7158.0,13288.0,27640.0,67058.0,?,?,?,?,?,?,?,?,?,188402.0,2017100.0
295,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,82670.0,12284.0,1022.0,55284.0,2032.0,?,?,?,?,?,?,?,?,?,?,?,74738.0,221364.0,319916.0,5725746.0,2564658.0,18928.0,71114.0,1270.0,2556.0,23536.0,5350,?,?,?,?,?,?,?,?,?,?,?,508.0,4336.0,4082.0,1020570.0,3810.0,20464.0,4064.0,650248.0,1920278.0,764.0,18058.0,?,?,?,?,?,?,?,?,?,9210.0,0.0
296,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5116.0,11442.0,36856.0,71674.0,17690.0,?,?,?,?,?,?,?,?,?,?,?,7284136.0,10224.0,10224.0,46026.0,47558.0,2046.0,16106.0,14326.0,360442.0,0.0,73960,?,?,?,?,?,?,?,?,?,?,?,0.0,1428098.0,1568120.0,3556.0,5036384.0,506264.0,3576.0,51752.0,16786674.0,18406.0,21180.0,?,?,?,?,?,?,?,?,?,8188.0,0.0
297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,135674.0,12012.0,2183050.0,1022.0,15338.0,?,?,?,?,?,?,?,?,?,?,?,9208.0,6648.0,6648.0,12284.0,16378.0,4094.0,6922252.0,4094.0,19938.0,0.0,508,?,?,?,?,?,?,?,?,?,?,?,4082.0,55240.0,59080.0,3400314.0,35564.0,1276.0,254.0,5112.0,58330.0,152360.0,376540.0,?,?,?,?,?,?,?,?,?,12282.0,57330.0
298,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,360436.0,6134.0,192498.0,71674.0,72666.0,?,?,?,?,?,?,?,?,?,?,?,208584.0,876520.0,909286.0,108198.0,95926.0,2300.0,8396.0,9968.0,510.0,10490.0,605076,?,?,?,?,?,?,?,?,?,?,?,507786.0,0.0,508.0,27376.0,51442.0,28666.0,0.0,131066.0,67828.0,205878.0,38334.0,?,?,?,?,?,?,?,?,?,6136.0,4094.0
299,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18930.0,20180.0,1778.0,2046.0,93168.0,?,?,?,?,?,?,?,?,?,?,?,11246.0,9486814.0,9449360.0,7162.0,7162.0,12782.0,0.0,97000.0,1079248.0,5360.0,2546,?,?,?,?,?,?,?,?,?,?,?,32984.0,3554804.0,3561984.0,36852.0,17630.0,16376.0,35824.0,521600.0,1524.0,16777214.0,44254.0,?,?,?,?,?,?,?,?,?,8188.0,254.0
300,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13538.0,11718.0,0.0,6140.0,0.0,?,?,?,?,?,?,?,?,?,?,?,6648.0,254.0,508.0,12284.0,12284.0,983024.0,2300.0,1037430.0,24572.0,2542.0,19704,?,?,?,?,?,?,?,?,?,?,?,0.0,31220.0,31220.0,9696.0,546248.0,762.0,508.0,10446.0,2046.0,92150.0,1022.0,?,?,?,?,?,?,?,?,?,5116.0,8188.0
301,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,704488.0,1022.0,1018.0,0.0,70122.0,?,?,?,?,?,?,?,?,?,?,?,876520.0,10236.0,29680.0,2554.0,2554.0,83418.0,1022.0,2556.0,147444.0,1022.0,8218264,?,?,?,?,?,?,?,?,?,?,?,3289586.0,1016.0,1016.0,480712.0,4338.0,12258.0,35052.0,1016.0,184772.0,1938756.0,0.0,?,?,?,?,?,?,?,?,?,4094.0,3068.0
302,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8184.0,9208.0,1066304.0,6902.0,143826.0,?,?,?,?,?,?,?,?,?,?,?,9481740.0,764.0,764.0,108014.0,108014.0,12264.0,254.0,1545804.0,5110.0,8190.0,5080,?,?,?,?,?,?,?,?,?,?,?,31220.0,4348.0,4348.0,2546.0,3068.0,20470.0,83670.0,16382.0,8170.0,153522.0,1022.0,?,?,?,?,?,?,?,?,?,12280.0,764.0
303,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,102646.0,508.0,2046.0,63478.0,51700.0,?,?,?,?,?,?,?,?,?,?,?,254.0,103406.0,103406.0,2046.0,2300.0,37618.0,98264.0,387060.0,7586926.0,229368.0,7918,?,?,?,?,?,?,?,?,?,?,?,762.0,13306.0,13306.0,3068.0,36852.0,2546.0,2034.0,4336.0,4348.0,18152.0,254.0,?,?,?,?,?,?,?,?,?,4092.0,279776.0
304,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,21496.0,2242230.0,1270.0,387290.0,3066.0,?,?,?,?,?,?,?,?,?,?,?,10236.0,4094.0,4094.0,764.0,1018.0,172904.0,3433346.0,42708.0,22492.0,10236.0,9210,?,?,?,?,?,?,?,?,?,?,?,0.0,5116.0,13306.0,36852.0,49146.0,23276.0,17656.0,3787092.0,891668.0,32760.0,25050.0,?,?,?,?,?,?,?,?,?,4082.0,942738.0
305,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1856290.0,191948.0,4090.0,1374990.0,168658.0,?,?,?,?,?,?,?,?,?,?,?,510.0,76012.0,43752.0,1712920.0,1972272.0,510.0,505306.0,43244.0,1532.0,828680.0,1249556,?,?,?,?,?,?,?,?,?,?,?,13306.0,63138.0,57266.0,49146.0,69076.0,204722.0,2046.0,28916.0,26078.0,20076.0,3810.0,?,?,?,?,?,?,?,?,?,4094.0,4094.0
306,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,22520.0,1778.0,729078.0,16890.0,749778.0,?,?,?,?,?,?,?,?,?,?,?,103406.0,63718.0,63718.0,131564.0,147946.0,63456.0,53744.0,205542.0,9212.0,37114.0,3566,?,?,?,?,?,?,?,?,?,?,?,1022.0,9148.0,10672.0,73690.0,705096.0,254.0,55744.0,600288.0,19444.0,14529474.0,12534.0,?,?,?,?,?,?,?,?,?,11756.0,2044.0
307,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,191672.0,0.0,254.0,6384.0,98184.0,?,?,?,?,?,?,?,?,?,?,?,4094.0,103914.0,92904.0,0.0,0.0,4094.0,30450.0,2556.0,526458.0,4092.0,4094,?,?,?,?,?,?,?,?,?,?,?,66980.0,278748.0,277732.0,515556.0,1530.0,3810.0,89018.0,6904.0,55170398.0,127212.0,4600.0,?,?,?,?,?,?,?,?,?,8186.0,0.0
