64681;1.02364188946e-06;CoreSite - Any2 Chicago
64683;0.000127019189078;DIX
64684;0.0;MAE East
64904;2.86167160399e-09;CyrusOne IX Austin
64905;8.18742330602e-11;FL-IX
64714;0.0;Ottawa GigaPOP
64692;8.23732153485e-06;NIXI Chennai
64513;0.0;PIX Montreal
64906;2.24951780723e-06;Megaport-IX Brisbane
64703;4.71138139366e-05;SOX
64907;0.0;Mumbai CH
64908;9.19027716277e-08;RND-IX
64909;2.21367770056e-05;Equinix Seattle
64910;4.93422870643e-07;GigaPix OPorto
64715;0.00044900610901;Equinix San Jose
64720;0.0;TaipeiGigaPoP
64608;0.000272018258306;MyIX
64733;0.000578044807885;NYIIX
64911;2.9000094066e-05;IX Australia VIC
64721;2.26025795289e-06;PHOpenIX
64739;0.000148360320922;NWAX
64912;0.0;OhioIX
64515;0.00137011510154;Equinix Ashburn
64913;0.0025015360743;LINX Juniper LAN
64914;0.000162893297004;France-IX
64523;8.21108597079e-08;OCIX
64525;0.000105674162167;JPNAP Tokyo
64915;4.06244351696e-08;AMS-IX BAY
64528;2.89122739062e-07;Netnod Lulea
64916;0.0;CABASE-ROS
64917;4.30514151229e-05;MBIX
64535;4.27229865237e-05;MerieX
64918;4.27041978029e-05;PHLIX
64537;1.98011742719e-08;NSPIXP3
64919;4.84112042964e-05;QIX
64920;4.98116379082e-05;PTT-CAS
64551;0.0;MAE West
64921;0.0;BBIX Osaka
64922;8.57335003801e-05;DE-CIX Munich
64547;0.0;SD-NAP
64550;1.69410506908e-05;GigaPix
64923;1.03229629109e-07;France-IX Marseille
64924;1.59553851028e-06;NAP Chile
64925;4.41274096679e-09;GCIIX
64926;5.49720838455e-10;OI
64927;2.3059194173e-06;PTT-CE
64514;4.07092929032e-07;TIX
64696;4.14185933884e-07;TREX
64928;5.48763926509e-07;CINX
64929;1.90827439385e-06;B-IX
64566;2.86009809336e-09;Norrnod
64569;3.80118374379e-07;ExWest
64570;0.000168045487508;INTERLAN
64930;0.0;BY-IX
64931;1.49658299387e-09;OMSK-IX
64698;0.000185548520245;LIPEX
64578;3.50378193973e-05;PIPE Networks Brisbane
64709;9.30454220548e-06;NIXI Delhi
64932;9.77861271358e-06;ECIX Frankfurt
64719;0.00039917299355;Equinix Paris
64581;2.884162036e-06;BDIX
64933;9.6392879027e-07;KRS-IX
64588;9.89894998028e-06;MCIX
64589;2.9352652245e-05;Telx New York
64542;0.00047252700775;LINX Extreme LAN
64934;0.0;Cabase Nap Neuquen
64935;0.0;RDC-IX Kinshasa
64592;8.50545484937e-06;KINX
64595;9.74901841781e-06;ACTIX
64936;1.06112218614e-08;SH-IX
64600;3.01363436662e-05;CNIX
64644;0.000408358453188;HKIX
64937;4.21528235591e-05;Thinx
64938;0.0;VUIX
64939;1.21639914453e-08;PTT-LAJ
64563;0.000203067615998;VIX
64940;2.09133604033e-07;GraX
64941;3.42354427556e-07;BBIX Hong Kong / Singapore
64942;1.25886416481e-06;MalmIX Malmo / IXOR
64614;1.05683970784e-06;NIX-CAT
64617;9.5857292769e-06;NAP.EC
64943;4.54321218406e-06;COPHIX
64944;0.000236530675957;INEX LAN1
64945;1.10074804515e-06;INEX LAN2
64946;4.29454736201e-05;Sea-IX
64627;0.000244161701412;SwissIX
64628;5.28962656685e-05;PacketExchange
64947;2.32896280042e-07;Equinix Vienna, VA
64635;1.54998171315e-07;NSK-IX
64948;0.0;ArmIX
64949;9.18004956005e-05;BBIX Tokyo
64950;6.11588600781e-05;SMILE-LV
64951;0.0;NET-IX
64952;7.26635952064e-09;GVT
64953;4.06281815276e-10;NicIX
64653;2.44557914436e-06;NaMeX
64954;0.0;PHIX
64955;6.12156349555e-08;CoreSite - Any2 New York
64956;1.40411271473e-06;Peering.cz
64957;0.0;Echigo-IX
64958;2.87648775242e-05;Rheintal IX
64959;0.0;HTN-IX
64960;0.00014079141144;Boston Internet Exchange
64658;5.45290688238e-05;Terremark - NAP do Brasil
64961;2.87929340904e-09;PTT-MAO
64661;6.74036951793e-09;GIX Gothenburg
64962;4.53227638864e-05;EPIX
64963;3.72991985757e-07;IXScotland
64664;4.39192627233e-05;MINAP Milan
64964;0.0;MIX NDC
64965;6.6492293577e-06;AMS-IX Hong Kong
64966;0.0;HFXIX
64666;0.000178125169506;STHIX
64609;2.27566454626e-06;CATNIX
64674;9.69720404885e-05;WIX
64676;1.69100378728e-05;ECIX Hamburg
64967;2.84952332492e-06;GigaNET
64968;1.22034510176e-07;MKE-IX
64969;1.10789333321e-08;VLV-IX
64970;2.11144072679e-08;PTT-VIX
64686;5.79417948335e-05;CIX
64688;0.000562307026564;Equinix Chicago
64971;0.0;SainteTiX
64972;0.0038635794213;DE-CIX Frankfurt
64702;7.52967624255e-05;LU-CIX
64731;0.000455086374061;NOTA
64973;4.2674498592e-05;Embratel
64704;2.38625729527e-06;Sitelix
64705;1.48951591634e-05;CoreSite - Any2 Northern California
64974;0.0;midwest-ix
64975;2.81797685554e-06;PTT-MG
64710;3.19611732766e-07;Pouix
64711;5.90666682272e-06;Lyonix
64976;0.000169110057454;Netnod Stockholm
64977;6.44406917479e-07;SOX d.o.o. Serbia
64718;1.937044305e-05;SIX.SK
64978;0.0;CitraIX
64724;5.90341466085e-05;FreeBIX
64725;0.0;ASIX6
64729;1.11133946863e-05;BIX.BG
64979;0.0;NNOV-IX
64556;6.59597314949e-05;XchangePoint
64980;2.25674327001e-07;ISTIX / IST-IX
64736;0.000790489671722;CABASE
64981;0.0;BBIX Nagoya
